article_id,title,journal,pub_year,times_cited,doi,study_type_2,fieldstudy_country,affiliation,affiliation_country
736,Status-dependent foraging behaviour in coral reef wrasses,CORAL REEFS,2014,5,10.1007/s00338-014-1138-1,Field-based,Australia,"Australian Natl Univ, ARC Ctr Excellence Coral Reef Studies, Res Sch Biol, Canberra, ACT 0200",Australia
737,Foraging in corallivorous butterflyfish varies with wave exposure,CORAL REEFS,2014,10,10.1007/s00338-014-1140-7,Field-based,Australia,"Australian Natl Univ, ARC Ctr Excellence Coral Reef Studies, Res Sch Biol, Canberra, ACT 0200",Australia
739,"Phenology of sexual reproduction in the common coral reef sponge, Carteriospongia foliascens",CORAL REEFS,2014,8,10.1007/s00338-013-1119-9,Field-based,Australia,"Australian Inst Marine Sci, Townsville, Qld 4810, James Cook Univ, AIMS JCU, Townsville, Qld 4811, James Cook Univ, Sch Marine & Trop Biol, Townsville, Qld 4811",Australia
742,Larval Behaviours and Their Contribution to the Distribution of the Intertidal Coral Reef Sponge Carteriospongia foliascens,PLOS ONE,2014,11,10.1371/journal.pone.0098181,Field-based,Australia,"Australian Inst Marine Sci, Townsville, Qld 4810, James Cook Univ, AIMS JCU, Townsville, Qld 4811, James Cook Univ, Sch Marine & Trop Biol, Townsville, Qld 4811",Australia
744,Combining Natural History Collections with Fisher Knowledge for Community-Based Conservation in Fiji,PLOS ONE,2014,14,10.1371/journal.pone.0098036,Field-based,Fiji,"Columbia Univ, Dept Ecol Evolut & Environm Biol, New York",United States
748,Consequences of a Government-Controlled Agricultural Price Increase on Fishing and the Coral Reef Ecosystem in the Republic of Kiribati,PLOS ONE,2014,5,10.1371/journal.pone.0096817,Field-based,Kiribati,"Brown Univ, Environm Change Initiat, Providence, Nature Conservancy, Cent Sci Div, Arlington",United States
749,Low Susceptibility of Invasive Red Lionfish (Pterois volitans) to a Generalist Ectoparasite in Both Its Introduced and Native Ranges,PLOS ONE,2014,21,10.1371/journal.pone.0095854,Field-based,Bahamas,"Arkansas State Univ, Dept Biol Sci, Jonesboro",United States
749,Low Susceptibility of Invasive Red Lionfish (Pterois volitans) to a Generalist Ectoparasite in Both Its Introduced and Native Ranges,PLOS ONE,2014,21,10.1371/journal.pone.0095854,Field-based,British Virgin Islands,"Arkansas State Univ, Dept Biol Sci, Jonesboro",United States
749,Low Susceptibility of Invasive Red Lionfish (Pterois volitans) to a Generalist Ectoparasite in Both Its Introduced and Native Ranges,PLOS ONE,2014,21,10.1371/journal.pone.0095854,Field-based,Cayman Islands,"Arkansas State Univ, Dept Biol Sci, Jonesboro",United States
749,Low Susceptibility of Invasive Red Lionfish (Pterois volitans) to a Generalist Ectoparasite in Both Its Introduced and Native Ranges,PLOS ONE,2014,21,10.1371/journal.pone.0095854,Field-based,Philippines,"Arkansas State Univ, Dept Biol Sci, Jonesboro",United States
749,Low Susceptibility of Invasive Red Lionfish (Pterois volitans) to a Generalist Ectoparasite in Both Its Introduced and Native Ranges,PLOS ONE,2014,21,10.1371/journal.pone.0095854,Field-based,United States Virgin Islands,"Arkansas State Univ, Dept Biol Sci, Jonesboro",United States
