article_id,title,journal,pub_year,times_cited,doi,study_type_2,affiliation,affiliation_country,affiliation_airport,affiliation_airport_code,fieldstudy_country,field_study_location,field_airport,field_airport_code
106,Social fit of coral reef governance varies among individuals,CONSERVATION LETTERS,2018,2,10.1111/conl.12422,Field-based,"Univ Exeter, ESI, Cornwall Campus, Penryn, Univ West Indies, Ctr Resource Management & Environm Studies CERMES, Cave Hill Campus, Wanstead","United Kingdom, Barbados",Penryn,NQY,Barbados,Pile Bay,Grantley Adams International Airport,BGI
106,Social fit of coral reef governance varies among individuals,CONSERVATION LETTERS,2018,2,10.1111/conl.12422,Field-based,"Univ Exeter, ESI, Cornwall Campus, Penryn, Univ West Indies, Ctr Resource Management & Environm Studies CERMES, Cave Hill Campus, Wanstead","United Kingdom, Barbados",NA,NA,Belize,NA,NA,NA
106,Social fit of coral reef governance varies among individuals,CONSERVATION LETTERS,2018,2,10.1111/conl.12422,Field-based,"Univ Exeter, ESI, Cornwall Campus, Penryn, Univ West Indies, Ctr Resource Management & Environm Studies CERMES, Cave Hill Campus, Wanstead","United Kingdom, Barbados",NA,NA,Honduras,NA,NA,NA
106,Social fit of coral reef governance varies among individuals,CONSERVATION LETTERS,2018,2,10.1111/conl.12422,Field-based,"Univ Exeter, ESI, Cornwall Campus, Penryn, Univ West Indies, Ctr Resource Management & Environm Studies CERMES, Cave Hill Campus, Wanstead","United Kingdom, Barbados",NA,NA,Saint Kitts and Nevis,NA,NA,NA
108,Bioaccumulation of trace metals in octocorals depends on age and tissue compartmentalization,PLOS ONE,2018,1,10.1371/journal.pone.0196222,Field-based,"Natl Taiwan Ocean Univ, Inst Marine Biol, Keelung",Taiwan,NA,NA,"Taiwan, Province Of China",NA,NA,NA
110,In situ observations of coral bleaching in the central Saudi Arabian Red Sea during the 2015/2016 global coral bleaching event,PLOS ONE,2018,3,10.1371/journal.pone.0195814,Field-based,"King Abdullah Univ Sci & Technol, Div Biol & Environm Sci & Engn, Red Sea Res Ctr, Thuwal",Saudi Arabia,Thuwal,JED,Saudi Arabia,Thuwal,Jedda Airport,JED
113,"Variation in social systems within Chaetodon butterflyfishes, with special reference to pair bonding",PLOS ONE,2018,1,10.1371/journal.pone.0194465,Field-based,"James Cook Univ, Australian Res Council Ctr Excellence Coral Reef, Townsville, Qld, Stanford Univ, Dept Biol, Stanford","Australia, United States",Townsville,TSV,Australia,northern Great Barrier Reef,Cairns,CNS
114,Anemone bleaching increases the metabolic demands of symbiont anemonefish,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2018,0,10.1098/rspb.2018.0282,Field-based,"Univ Glasgow, Inst Biodivers Anim Hlth & Comparat Med, Graham Kerr Bldg, Glasgow G12 8QQ, Lanark",United Kingdom,Glasgow,GLA,French Polynesia,"Opunohu Bay, Moorea",Fa'a'ā International Airport,PPT
115,The trophic ecology of Caribbean reef sharks (Carcharhinus perezi) relative to other large teleost predators on an isolated coral atoll,MARINE BIOLOGY,2018,1,10.1007/s00227-018-3322-2,Field-based,"Florida Int Univ, Dept Biol Sci, 3000 NE 151st St, North Miami, SUNY Stony Brook, Sch Marine & Atmospher Sci, Stony Brook",United States,Miami,MIA,Belize,Belize,Philip S. W. Goldson International Airport,BZE
116,Responses of coral reef community metabolism in flumes to ocean acidification,MARINE BIOLOGY,2018,1,10.1007/s00227-018-3324-0,Field-based,"Calif State Univ Northridge, Dept Biol, 18111 Nordhoff St, Northridge",United States,Northridge,LAX,French Polynesia,Moorea,Fa'a'ā International Airport,PPT
